勤め先会社名,提携窓口会社名,対象確認方法,紹介状提出期限,特典率,手数料率,対象者,連絡先,連絡先②,担当名
帝國製薬,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
津山防衛事務所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4222,,佐藤
直島文化村,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5037,,小林・竹内・松田・五十嵐
鳥取銀行,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
長野オリンパス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4652,,小林・竹内・松田・五十嵐
長瀬産業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
長瀬産業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
長瀬ランダウア,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
長瀬フィルター,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
長瀬ビジネスエキスパート,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
長崎防衛支局,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4221,,佐藤
長興,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
長岡京市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
朝霞台中央訪問看護ステーション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4969,,小林・竹内・松田・五十嵐
朝霞台中央総合病院 ドック健診センター,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4964,,小林・竹内・松田・五十嵐
朝霞・三園ユーティリティサービス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
朝岡スパイス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
忠岡エコサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
中本パックス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中部キャンパス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
中日本高速道路,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中日本航空,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中日本ハイウェイ・エンジニアリング名古屋,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中日本エクストール名古屋,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中日本エクストール横浜,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中日新聞社,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中電工,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中電環境テクノス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中電プラント,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中電シーティーアイ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中津病院訪問看護ステーション,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
中谷電気,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
中川金属,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
中西製作所,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中国労働金庫,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中国日立,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
中国電力ネットワーク,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中国電力,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中国四国防衛局,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4220,,佐藤
中国機材設備,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
中国パワーシステム,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
中京テレビ放送,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
中間貯蔵・環境安全事業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中外炉工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中外産業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
中央日本土地建物,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
中央特機,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
中央化学,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
筑邦銀行,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
池田泉州銀行,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
池田市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
池袋西口駅前クリニック,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4961,,小林・竹内・松田・五十嵐
池袋ショッピングパーク,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4682,,小林・竹内・松田・五十嵐
地方独立行政法人加古川市民病院機構職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
地方協力本部,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4219,,佐藤
地銀ソリューションサービス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4606,,小林・竹内・松田・五十嵐
地銀ITソリューション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4605,,小林・竹内・松田・五十嵐
地共済大阪府支部 職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
地球の歩き方,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7661,,飯野
知多市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
淡陽信用組合,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
宅配,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
第一精密産業,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5006,,小林・竹内・松田・五十嵐
第一工業製薬,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
第一環境,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
大和総業,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
大和証券エスエムビーシープリンシパル・インベストメンツ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ライフプラス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ライフネクスト,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ライフコスモ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ライフエナジア,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ライフウィズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大和ハウス工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大和コスモスコンストラクション,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大林道路,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大豊不動産株式会社,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大豊塗装工業株式会社,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大豊建設,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大豊アーキテクノ株式会社,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大富,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4495,,小林・竹内・松田・五十嵐
大日本土木,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大日精化工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大日,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4494,,小林・竹内・松田・五十嵐
大同生命保険,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
大同メタル工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大田池上訪問看護ステーション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4974,,小林・竹内・松田・五十嵐
大鉄工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大塚商会,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大創産業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大正製薬,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大成有楽不動産,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大成工業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大成ロテック共済会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大森機械工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大手町建物管理,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大手町ファーストスクエア,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
大阪緑涼高校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪北リハビリテーション病院,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪府立病院機構職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪府農協健康保険組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪府障害者福祉事業団職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪府済生会富田林病院,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪府済生会中津病院,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪府済生会千里病院職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪乳児院児童福祉施設,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪電装工業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪整肢学院,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪商業大学付属幼稚園,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪商業大学堺高等学校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪商業大学高等学校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪商業大学・大学院,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪済生会中津看護専門学校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大阪広域水道企業団職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪厚生信用金庫,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪暁明館共済会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪トヨペット労働組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪テレビタレントビューロー,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4474,,小林・竹内・松田・五十嵐
大阪ソーダ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪シティ信用金庫,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪シティバス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪ガスファシリティーズ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪ガスビジネスクリエイト,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪ガスセキュリティサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪ｶﾞｽ･ｶｽﾀﾏｰﾘﾚｰｼｮﾝｽﾞ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大阪ガス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大黒商事,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大広,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大光銀行,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大興物産,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大興電子通信,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
大興電子通信,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大興ビジネス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大興テクノサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大宮・井上眼科クリニック,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大気社,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大栄環境総研,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大栄環境,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
大栄環境,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大栄アメット㈱,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
大亜真空,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
台湾利楽福利厚生股ｲ分有限公司,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
帯広防衛支局,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4218,,佐藤
帯広市職員福利厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
太陽石油,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
多摩市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
多田機工,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
多田スミス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
村本建設,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
葬仙,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
総和産業,ホンダ開発株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,048-452-5820,,田中
総合農林,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
総合事務サービス,ホンダ開発株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,048-452-5820,,田中
総合メディカル,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
相続安心サポート,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5096,,小林・竹内・松田・五十嵐
早稲田スクール,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7650,,飯野
倉敷運輸,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
双日,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
創造学園,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7649,,飯野
蘇生会グループ互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
全保連,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
全中村屋労働組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
全国農業協同組合連合会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
全国共済農業協同組合連合会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
全教研,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7652,,飯野
前田製作所,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
前田工繊,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
前橋防衛事務所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4217,,佐藤
船橋整形外科グループ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
船橋ケアセンター,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4947,,小林・竹内・松田・五十嵐
船井電機,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
浅海電気,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
泉友,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
川島文化事業団,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
川島織物セルコン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
川島セルコンソーイング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
川西市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
川重冷熱工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
川崎支所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4216,,佐藤
川崎フロンターレ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0420,,宮本
川研ファインケミカル,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7577,,飯野
千葉防衛事務所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4215,,佐藤
千代田会,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
千代田化工建設,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
千代田運輸,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
